         9281111 function calls (9273891 primitive calls) in 488.001 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:597(_get_xdg_config_dir)
        1    0.000    0.000    0.003    0.003 __init__.py:625(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:633(Filter)
        1    0.000    0.000    0.003    0.003 __init__.py:660(_get_configdir)
     3000    0.081    0.000    0.706    0.000 __init__.py:67(next)
        1    0.000    0.000    0.000    0.000 __init__.py:670(Filterer)
        2    0.000    0.000    0.000    0.000 __init__.py:675(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:697(_decode_filesystem_path)
        1    0.000    0.000    0.035    0.035 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:704(_get_data_path)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:742(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:747(_get_data_path_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:752(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:761(__init__)
        1    0.000    0.000    0.003    0.003 __init__.py:781(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:790(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:8(PerformanceWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:84(Progress)
        2    0.000    0.000    0.000    0.000 __init__.py:85(__init__)
        1    0.000    0.000    0.009    0.009 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:885(RcParams)
      287    0.000    0.000    0.000    0.000 __init__.py:894(<genexpr>)
        2    0.000    0.000    0.006    0.003 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:9(ExtType)
        3    0.000    0.000    0.009    0.003 __init__.py:905(__init__)
      576    0.001    0.000    0.009    0.000 __init__.py:909(__setitem__)
     5258    0.028    0.000    0.029    0.000 __init__.py:91(_replace_charref)
       10    0.000    0.000    0.000    0.000 __init__.py:934(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:937(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:962(update)
        1    0.000    0.000    0.006    0.006 __init__.py:97(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:988(FileHandler)
        3    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
    13766    0.026    0.000    0.052    0.000 _bootlocale.py:23(getpreferredencoding)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:200(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:203(<genexpr>)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:283(__subclasshook__)
       40    0.000    0.000    0.000    0.000 _collections_abc.py:308(__subclasshook__)
     1504    0.014    0.000    0.102    0.000 _collections_abc.py:592(get)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:599(__contains__)
        1    0.000    0.000    0.001    0.001 _color_data.py:1(<module>)
       11    0.000    0.000    0.000    0.000 _color_data.py:34(<genexpr>)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _common.py:115(_tzinfo)
        6    0.000    0.000    0.000    0.000 _common.py:13(tzname_in_python2)
        1    0.000    0.000    0.000    0.000 _common.py:233(tzrangebase)
        1    0.000    0.000    0.000    0.000 _common.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _common.py:54(_DatetimeWithFold)
        1    0.000    0.000    0.000    0.000 _common.py:6(weekday)
       14    0.000    0.000    0.000    0.000 _common.py:9(__init__)
        3    0.000    0.000    0.000    0.000 _common.py:98(_validate_fromutc_inputs)
        1    0.000    0.000    0.000    0.000 _compat.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:37(_mpl_ge_1_5_0)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.124    0.124 _converter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _converter.py:1019(TimeSeries_TimedeltaFormatter)
        1    0.000    0.000    0.000    0.000 _converter.py:103(TimeFormatter)
        1    0.000    0.000    0.000    0.000 _converter.py:127(PeriodConverter)
        1    0.000    0.000    0.000    0.000 _converter.py:187(DatetimeConverter)
        1    0.000    0.000    0.000    0.000 _converter.py:256(PandasAutoDateFormatter)
        1    0.000    0.000    0.000    0.000 _converter.py:272(PandasAutoDateLocator)
        1    0.000    0.000    0.000    0.000 _converter.py:297(MilliSecondLocator)
        1    0.000    0.000    0.000    0.000 _converter.py:48(register)
        1    0.000    0.000    0.000    0.000 _converter.py:74(TimeConverter)
        1    0.000    0.000    0.000    0.000 _converter.py:871(TimeSeries_DateLocator)
        1    0.000    0.000    0.000    0.000 _converter.py:953(TimeSeries_DateFormatter)
        1    0.000    0.000    0.000    0.000 _core.py:1056(AreaPlot)
        1    0.000    0.000    0.000    0.000 _core.py:1128(BarPlot)
        1    0.000    0.000    0.000    0.000 _core.py:1246(BarhPlot)
        1    0.000    0.000    0.000    0.000 _core.py:1268(HistPlot)
        1    0.000    0.000    0.000    0.000 _core.py:1349(KdePlot)
        1    0.000    0.000    0.000    0.000 _core.py:1401(PiePlot)
        1    0.000    0.000    0.001    0.001 _core.py:1467(BoxPlot)
        1    0.000    0.000    0.000    0.000 _core.py:2415(BasePlotMethods)
        1    0.000    0.000    0.000    0.000 _core.py:2424(SeriesPlotMethods)
        1    0.000    0.000    0.000    0.000 _core.py:2597(FramePlotMethods)
        1    0.000    0.000    0.003    0.003 _core.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _core.py:62(MPLPlot)
        1    0.000    0.000    0.000    0.000 _core.py:769(PlanePlot)
        1    0.000    0.000    0.000    0.000 _core.py:802(ScatterPlot)
        1    0.000    0.000    0.000    0.000 _core.py:866(HexBinPlot)
        1    0.000    0.000    0.000    0.000 _core.py:898(LinePlot)
        1    0.000    0.000    0.000    0.000 _datasource.py:154(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:50(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:504(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:74(__init__)
        1    0.000    0.000    0.000    0.000 _decorators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decorators.py:100(Substitution)
      191    0.000    0.000    0.000    0.000 _decorators.py:129(__init__)
      191    0.001    0.000    0.001    0.000 _decorators.py:135(__call__)
        1    0.000    0.000    0.000    0.000 _decorators.py:156(Appender)
      601    0.001    0.000    0.001    0.000 _decorators.py:176(__init__)
      601    0.001    0.000    0.040    0.000 _decorators.py:183(__call__)
       18    0.000    0.000    0.000    0.000 _decorators.py:19(deprecate_kwarg)
        3    0.000    0.000    0.000    0.000 _decorators.py:191(indent)
        1    0.000    0.000    0.000    0.000 _decorators.py:227(docstring_wrapper)
       18    0.000    0.000    0.000    0.000 _decorators.py:64(_deprecate_kwarg)
        6    0.000    0.000    0.000    0.000 _decorators.py:9(deprecate)
        1    0.000    0.000    0.000    0.000 _depr_module.py:10(_DeprecatedModule)
        5    0.000    0.000    0.000    0.000 _depr_module.py:26(__init__)
        1    0.000    0.000    0.000    0.000 _depr_module.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:33(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:45(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:56(_NoValue)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:340(PackageLoaderDebug)
        1    0.000    0.000    0.000    0.000 _import_tools.py:9(PackageLoader)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       38    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        7    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        5    0.000    0.000    0.000    0.000 _inspect.py:145(<lambda>)
       60    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
       43    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       43    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       38    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 _internal.py:200(dummy_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:210(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:233(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:240(_ctypes)
        1    0.000    0.000    0.020    0.020 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:671(TooHardError)
        1    0.000    0.000    0.000    0.000 _internal.py:674(AxisError)
       51    0.000    0.000    0.000    0.000 _internal.py:703(_ufunc_doc_signature_formatter)
       78    0.000    0.000    0.000    0.000 _internal.py:714(<genexpr>)
        1    0.000    0.000    0.000    0.000 _iotools.py:155(LineSplitter)
